wosarticle__ti,wosarticle__py,wosarticle__doc,wosarticle__di,docproject__relevant,redirect_url
The European Commission on Sustainable Development. A New Normative Power in Its Making?,,5213276,http://dx.doi.org/10.1080/07360932.2022.2032255,Yes (1),https://www.tandfonline.com/doi/full/10.1080/07360932.2022.2032255
"""Keeping it up"" is out of the question - steel construction production must become climate-neutral",,5231885,http://dx.doi.org/10.1002/stab.202200012,Yes (1),
From carbon neutral to climate neutral: Dynamic life cycle assessment for wood-based panels produced in China,,5339452,http://dx.doi.org/10.1111/jiec.13286,Yes (1),
The Crucial Role of Bioenergy in a Climate-Neutral Energy System in Germany,,5339536,http://dx.doi.org/10.1002/ceat.202100263,Yes (1),
A bottom-up dynamic building stock model for residential energy transition: A case study for the Netherlands,2022.0,4915915,http://dx.doi.org/10.1016/j.apenergy.2021.118060,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0306261921013507
Destination net-zero: what does the international energy agency roadmap mean for tourism?,2022.0,4916232,http://dx.doi.org/10.1080/09669582.2021.1962890,Yes (1),https://www.tandfonline.com/doi/full/10.1080/09669582.2021.1962890
Possibilities of Ammonia as Both Fuel and NOx Reductant in Marine Engines: A Numerical Study,2022.0,4947789,http://dx.doi.org/10.3390/jmse10010043,Yes (1),https://www.mdpi.com/2077-1312/10/1/43/htm
Potential effects of the EU's carbon border adjustment mechanism on the Turkish economy,2022.0,5196097,http://dx.doi.org/10.1007/s10668-021-01779-1,Yes (1),https://link.springer.com/article/10.1007/s10668-021-01779-1
INCREASING AMBITION TO REDUCE THE CARBON TRACE OF MULTIMODAL TRANSPORTATION IN THE CONDITIONS OF UKRAINE'S ECONOMY TRANSFORMATION TOWARDS CLIMATE NEUTRALITY,2022.0,5196509,http://dx.doi.org/10.15407/scine18.01.096,Yes (1),https://scinn-eng.org.ua/ojs/index.php/ni/article/view/168
Rethinking carbon-neutral built environment: Urban dynamics and scenario analysis,2022.0,5205985,http://dx.doi.org/10.1016/j.enbuild.2021.111672,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0378778821009567
A strong mitigation scenario maintains climate neutrality of northern peatlands,2022.0,5212930,http://dx.doi.org/10.1016/j.oneear.2021.12.008,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S2590332221007260
Land-based climate change mitigation measures can affect agricultural markets and food security,2022.0,5220098,http://dx.doi.org/10.1038/s43016-022-00464-4,Yes (1),https://www.nature.com/articles/s43016-022-00464-4
Enhanced Atmospheric Water Harvesting with Sunlight-Activated Sorption Ratcheting,2022.0,5224781,http://dx.doi.org/10.1021/acsami.1c18852,Yes (1),
Spatio-Temporal Assessment of Biomass Self-Sufficiency in the European Union,2022.0,5228166,http://dx.doi.org/10.3390/su14031897,Yes (1),https://www.mdpi.com/2071-1050/14/3/1897/htm
"Climate change in the Western Balkans and EU Green Deal: status, mitigation and challenges",2022.0,5228439,http://dx.doi.org/10.1186/s13705-021-00328-y,Yes (1),https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-021-00328-y
A Comprehensive Workflow for High Resolution 3D Solar Photovoltaic Potential Mapping in Dense Urban Environment: A Case Study on Campus of Delft University of Technology,2022.0,5229551,http://dx.doi.org/10.1002/solr.202100478,Yes (1),
Quantification of the carbon intensity of electricity produced and used in Europe,2022.0,5231782,http://dx.doi.org/10.1016/j.apenergy.2021.117901,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0306261921012149
Inter-Municipal Methodology for Climate Transition Strategies: The First Case in Italy,2022.0,5236256,http://dx.doi.org/10.3390/su14052529,Yes (1),https://www.mdpi.com/2071-1050/14/5/2529/htm
The Impact of the European Green Deal on EU Environmental Policy,2022.0,5242520,http://dx.doi.org/10.1177/10704965221082222,Yes (1),
My Fault or Default-Household Behaviors Living in a Climate-Smart Building,2022.0,5246866,http://dx.doi.org/10.3390/buildings12020245,Yes (1),https://www.mdpi.com/2075-5309/12/2/245/htm
Hydrogen sourcing strategies and cross-sectoral flexibility trade-offs in net-neutral energy scenarios for Europe,2022.0,5248863,http://dx.doi.org/10.1016/j.energy.2021.121598,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360544221018466
Renewable carbon opportunities in the production of succinic acid applying attributional and consequential modelling,2022.0,5248902,http://dx.doi.org/10.1016/j.cej.2021.132011,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1385894721035907
Climate Protection and Sustainable Mobility through Green Hydrogen,2022.0,5248911,http://dx.doi.org/10.1002/cite.202100156,Yes (1),
The Analysis of Public Funds Utilization Efficiency for Climate Neutrality in the European Union Countries,2022.0,5249891,http://dx.doi.org/10.3390/en15020581,Yes (1),https://www.mdpi.com/1996-1073/15/2/581/htm
A new approach for coupling the short- and long-term planning models to design a pathway to carbon neutrality in a coal-based power system,2022.0,5282708,http://dx.doi.org/10.1016/j.energy.2021.122438,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360544221026876
Techno-economic assessment of the FReSMe technology for CO2 emissions mitigation and methanol production from steel plants,2022.0,5293044,http://dx.doi.org/10.1016/j.jcou.2021.101852,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S2212982021004194
Renewable natural gas as climate-neutral energy carrier?,2022.0,5293154,http://dx.doi.org/10.1016/j.fuel.2021.122547,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0016236121024169
Transitioning to energy efficient housing: Drivers and barriers of intermediaries in heat pump technology,2022.0,5313256,http://dx.doi.org/10.1016/j.enpol.2021.112709,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0301421521005747
MATRYCS-A Big Data Architecture for Advanced Services in the Building Domain,2022.0,5316749,http://dx.doi.org/10.3390/en15072568,Yes (1),https://www.mdpi.com/1996-1073/15/7/2568/htm
Green manufacturers' power strategy in the smart grid era,2022.0,5317634,http://dx.doi.org/10.1016/j.cie.2021.107836,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360835221007403
State-of-the-art sustainable approaches for deeper decarbonization in Europe-An endowment to climate neutral vision,2022.0,5318148,http://dx.doi.org/10.1016/j.rser.2022.112204,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1364032122001277
On wholesale electricity prices and market values in a carbon-neutral energy system,2022.0,5318454,http://dx.doi.org/10.1016/j.eneco.2021.105709,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0140988321005600
STUDY ON POTENTIAL ROLE AND BENEFITS OF LIQUIFIED NATURAL GAS IMPORT TERMINAL IN LATVIA,2022.0,5318563,http://dx.doi.org/10.2478/lpts-2022-0010,Yes (1),https://www.sciendo.com/article/10.2478/lpts-2022-0010
GOBLIN version 1.0: a land balance model to identify national agriculture and land use pathways to climate neutrality via backcasting,2022.0,5339416,http://dx.doi.org/10.5194/gmd-15-2239-2022,Yes (1),https://gmd.copernicus.org/articles/15/2239/2022/
Energy Community in Action-Energy Citizenship Contract as Tool for Climate Neutrality,2022.0,5339425,http://dx.doi.org/10.3390/smartcities5010018,Yes (1),https://www.mdpi.com/2624-6511/5/1/18/htm
"Data Fusion in Earth Observation and the Role of Citizen as a Sensor: A Scoping Review of Applications, Methods and Future Trends",2022.0,5339426,http://dx.doi.org/10.3390/rs14051263,Yes (1),https://www.mdpi.com/2072-4292/14/5/1263/htm
A Fuzzy Mathematical Model to Estimate the Energy Cost for Heat Pump System,2022.0,5339435,http://dx.doi.org/10.1007/978-3-030-93817-8_70,Yes (1),https://link.springer.com/chapter/10.1007/978-3-030-93817-8_70
Strategies of European Energy Producers: Directions of Evolution,2022.0,5339502,http://dx.doi.org/10.3390/en15020609,Yes (1),https://www.mdpi.com/1996-1073/15/2/609/htm
Analysis of the level of energy security in the three seas initiative countries,2022.0,5339537,http://dx.doi.org/10.1016/j.apenergy.2022.118649,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0306261922001179
<p>Potential GHG emission benefits of Asparagopsis taxiformis feed supplement in Australian beef cattle feedlots</p>,2022.0,5339548,http://dx.doi.org/10.1016/j.jclepro.2022.130499,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0959652622001421
Fair mobility budgets: A concept for achieving climate neutrality and transport equity,2022.0,5339550,http://dx.doi.org/10.1016/j.trd.2021.103165,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1361920921004600
Going Conservative or Conventional? Investigating Farm Management Strategies in between Economic and Environmental Sustainability in Southern Italy,2022.0,5339552,http://dx.doi.org/10.3390/agronomy12030597,Yes (1),https://www.mdpi.com/2073-4395/12/3/597/htm
Reconciling the micro- and macro-perspective in agricultural energy efficiency analysis for sustainable development,2022.0,5339553,http://dx.doi.org/10.1002/sd.2235,Yes (1),
Energy System Development Scenarios: Case of Poland,2022.0,5339555,http://dx.doi.org/10.3390/en15082962,Yes (1),https://www.mdpi.com/1996-1073/15/8/2962/htm
Potential of Energy Savings in the Public Housing Stock of Comunitat Valenciana Region by Applying the MedZEB Cost-Optimal Methodology,2022.0,5339556,http://dx.doi.org/10.3390/app12010138,Yes (1),https://www.mdpi.com/2076-3417/12/1/138/htm
Developing policy packages for low-carbon passenger transport: A mixed methods analysis of trade-offs and synergies,2022.0,5339557,http://dx.doi.org/10.1016/j.ecolecon.2021.107304,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0921800921003633
The Paradox of the New Great Game: Do Europe and China Need More Pipelines from Eurasia?,2022.0,5339560,http://dx.doi.org/10.1080/19448953.2021.1992192,Yes (1),https://www.tandfonline.com/doi/full/10.1080/19448953.2021.1992192
A Roadmap for Transforming Research to Invent the Batteries of the Future Designed within the European Large Scale Research Initiative BATTERY 2030+,2022.0,5339563,http://dx.doi.org/10.1002/aenm.202102785,Yes (1),
European Forest Governance: Status Quo and Optimising Options with Regard to the Paris Climate Target,2022.0,5339564,http://dx.doi.org/10.3390/su14074365,Yes (1),https://www.mdpi.com/2071-1050/14/7/4365/htm
The Boundaries of Scientific Innovation in the EU Green Deal Context,2022.0,5339568,http://dx.doi.org/10.2478/rtucct-2022-0010,Yes (1),
Safe- and sustainable-by-design: The case of Smart Nanomaterials. A perspective based on a European workshop,2022.0,5339573,http://dx.doi.org/10.1016/j.yrtph.2021.105093,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0273230021002348
Advanced Carbon Reinforced Concrete Technologies for Facade Elements of Nearly Zero-Energy Buildings,2022.0,5339574,http://dx.doi.org/10.3390/ma15041619,Yes (1),https://www.mdpi.com/1996-1944/15/4/1619/htm
Seaweed's Role in Energetic Transition-From Environmental Pollution Challenges to Enhanced Electrochemical Devices,2022.0,5339575,http://dx.doi.org/10.3390/biology11030458,Yes (1),https://www.mdpi.com/2079-7737/11/3/458/htm
Mining Waste as a Potential Additional Source of HREE and U for the European Green Deal: A Case Study of Bangka Island (Indonesia),2022.0,5339581,http://dx.doi.org/10.3390/min12010044,Yes (1),https://www.mdpi.com/2075-163X/12/1/44/htm
The Implementation of the European Green Deal Strategy as a Challenge for Energy Management in the Face of the COVID-19 Pandemic,2022.0,5339583,http://dx.doi.org/10.3390/en15072662,Yes (1),https://www.mdpi.com/1996-1073/15/7/2662/htm
"Catalysis for e-Chemistry: Need and Gaps for a Future De-Fossilized Chemical Production, with Focus on the Role of Complex (Direct) Syntheses by Electrocatalysis",2022.0,5339604,http://dx.doi.org/10.1021/acscatal.2c00099,Yes (1),
Transforming catalysis to produce e-fuels: Prospects and gaps,2022.0,5339618,http://dx.doi.org/10.1016/S1872-2067(21)64016,Yes (1),
MyPyPSA-Ger: Introducing CO2 taxes on a multi-regional myopic roadmap of the German electricity system towards achieving the 1.5 degrees C target by 2050,2022.0,5339626,http://dx.doi.org/10.1016/j.apenergy.2022.118576,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0306261922000587
"The circular economy in China: Achievements, challenges and potential implications for decarbonisation",2022.0,5339628,http://dx.doi.org/10.1016/j.resconrec.2022.106350,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0921344922001951
Can energy sector reach carbon neutrality with biomass limitations?,2022.0,5339629,http://dx.doi.org/10.1016/j.energy.2022.123797,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360544222007009
Barriers and Driving Factors for Sustainable Development of CO2 Valorisation,2022.0,5339630,http://dx.doi.org/10.3390/su14095054,Yes (1),https://www.mdpi.com/2071-1050/14/9/5054/htm
Analyzing the Macro-Economic and Employment Implications of Ambitious Mitigation Pathways and Carbon Pricing,2022.0,5339633,http://dx.doi.org/10.3389/fclim.2022.785136,Yes (1),https://www.frontiersin.org/articles/10.3389/fclim.2022.785136/full
Material Diets for Climate-Neutral Construction,2022.0,5339634,http://dx.doi.org/10.1021/acs.est.1c05895,Yes (1),
Risk-adjusted preferences of utility companies and institutional investors for battery storage and green hydrogen investment,2022.0,5339636,http://dx.doi.org/10.1016/j.enpol.2022.112821,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0301421522000465
"Negative CO2 emissions from flexible biofuel synthesis: Concepts, potentials, technologies",2022.0,5339637,http://dx.doi.org/10.1016/j.rser.2022.112120,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S136403212200048X
Public Perceptions on the Procedural Values and Proposed Outcomes of the Finnish Climate Change Act Amendment,2022.0,5339640,http://dx.doi.org/10.3389/fclim.2021.657241,Yes (1),https://www.frontiersin.org/articles/10.3389/fclim.2021.657241/full
What energy infrastructure will be needed by 2050 in the EU to support 1.5°C scenarios?,2022.0,5339641,http://dx.doi.org/10.12688/f1000research.109399.1,Yes (1),https://f1000research.com/articles/11-387/v1
New generation flexible printed photovoltaic,2022.0,5339644,http://dx.doi.org/10.1016/B978-0-12-823147-0.00013-6,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/B9780128231470000136
Palm oil biomass global supply chain: Environmental emissions vs. technology development of maritime transportation,2022.0,5339646,http://dx.doi.org/10.1016/j.procir.2022.02.135,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S2212827122001366
MATLAB/Simulink simulation of low-pressure PEM electrolyzer stack,2022.0,5339647,http://dx.doi.org/10.1016/j.ijhydene.2022.03.092,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360319922011296
FROM FOSSIL FUEL SOCIETY TO LOW-CARBON SOCIETY: SMART CITIES AS A FACILITATING STRATEGY,2022.0,5339648,http://dx.doi.org/10.3989/arbor.2022.803-804003,Yes (1),https://arbor.revistas.csic.es/index.php/arbor/article/view/2457
"Primeval Forests, Natural and Managed Forests in the Context of Biodiversity and Climate Protection – Part 2: The narrative of the climate neutrality of wood as a resource",2022.0,5339650,http://dx.doi.org/10.1399/NuL.2022.01.02,Yes (1),"https://www.nul-online.de/Urwaelder-Natur-und-Wirtschaftswaelder-im-Kontext-von-Biodiversitaets-und-Klimaschutz,QUlEPTcwNDU5NzAmTUlEPTExMTE.html?UID=69129E595371F0C401B011F7FB84DB2F85BA034AD23704"
Looking for sustainable development: Socially responsible mutual funds and the low-carbon economy,2021.0,4292991,http://dx.doi.org/10.1002/bse.2713,Yes (1),
Circular economy: national and global policy-overview,2021.0,4293295,http://dx.doi.org/10.1007/s10098-020-01988-8,Yes (1),https://link.springer.com/article/10.1007/s10098-020-01988-8
The analysis of similarities between the European Union countries in terms of the level and structure of the emissions of selected gases and air pollutants into the atmosphere,2021.0,4305399,http://dx.doi.org/10.1016/j.jclepro.2020.123641,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0959652620336866
The making of green steel in the EU: a policy evaluation for the early commercialization phase,2021.0,4380509,http://dx.doi.org/10.1080/14693062.2020.1803040,Yes (1),https://www.tandfonline.com/doi/full/10.1080/14693062.2020.1803040
Novel Use of Green Hydrogen Fuel Cell-Based Combined Heat and Power Systems to Reduce Primary Energy Intake and Greenhouse Emissions in the Building Sector,2021.0,4492345,http://dx.doi.org/10.3390/su13041776,Yes (1),https://www.mdpi.com/2071-1050/13/4/1776/htm
Which countries are prepared to green their coal-based steel industry with electricity? - Reviewing climate and energy policy as well as the implementation of renewable electricity,2021.0,4685398,http://dx.doi.org/10.1016/j.rser.2021.110938,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1364032121002306
Climate neutral livestock production - A radiative forcing -based climate footprint approach,2021.0,4685406,http://dx.doi.org/10.1016/j.jclepro.2020.125260,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S095965262035304X
The role of the European small ruminant dairy sector in stabilising global temperatures: lessons from GWP* warming-equivalent emission metrics,2021.0,4685509,http://dx.doi.org/10.1017/S0022029921000157,Yes (1),https://www.cambridge.org/core/journals/journal-of-dairy-research/article/role-of-the-european-small-ruminant-dairy-sector-in-stabilising-global-temperatures-lessons-from-gwp-warmingequivalent-emission-metrics/E830DEE36B5C8BEF07E5CB66FE0B9F7F
Digging deeper into cutting methane emissions from the oil and gas industry in the era of volatile prices,2021.0,4685512,http://dx.doi.org/10.1007/s11027-021-09948-3,Yes (1),https://link.springer.com/article/10.1007/s11027-021-09948-3
Economic Analysis of Measures for GHG Emission Reduction,2021.0,4685528,http://dx.doi.org/10.3390/su13041712,Yes (1),https://www.mdpi.com/2071-1050/13/4/1712/htm
Agroforestry to Achieve Global Climate Adaptation and Mitigation Targets: Are South Asian Countries Sufficiently Prepared?,2021.0,4685600,http://dx.doi.org/10.3390/f12030303,Yes (1),https://www.mdpi.com/1999-4907/12/3/303/htm
Diets within Environmental Limits: The Climate Impact of Current and Recommended Australian Diets,2021.0,4685621,http://dx.doi.org/10.3390/nu13041122,Yes (1),https://www.mdpi.com/2072-6643/13/4/1122/htm
Toward Climate-Neutral Heavy Industry: An Analysis of Industry Transition Roadmaps,2021.0,4710870,http://dx.doi.org/10.3390/app11125375,Yes (1),https://www.mdpi.com/2076-3417/11/12/5375/htm
Recent advances and challenges of inter-disciplinary biomass valorization by integrating hydrothermal and biological techniques,2021.0,4711148,http://dx.doi.org/10.1016/j.rser.2020.110370,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1364032120306584
"Potential Deployment of Reversible Solid-Oxide Cell Systems to Valorise Organic Waste, Balance the Power Grid and Produce Renewable Methane: A Case Study in the Southern Italian Peninsula",2021.0,4751821,http://dx.doi.org/10.3389/fenrg.2021.618229,Yes (1),https://www.frontiersin.org/articles/10.3389/fenrg.2021.618229/full
"Emissions Measurements from Household Solid Fuel Use in Haryana, India: Implications for Climate and Health Co-benefits",2021.0,4777110,http://dx.doi.org/10.1021/acs.est.0c05143,Yes (1),
A multiperiod approach for waste heat and renewable energy integration of industrial sites,2021.0,4777306,http://dx.doi.org/10.1016/j.rser.2021.111232,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1364032121005190
"Application of Multi-Criteria Decision-Making Tools for Assessing Biogas Plants: A Case Study in Reykjavik, Iceland",2021.0,4783370,http://dx.doi.org/10.3390/w13162150,Yes (1),https://www.mdpi.com/2073-4441/13/16/2150/htm
Kinetic Parameters of Nut Shells Pyrolysis,2021.0,4791430,http://dx.doi.org/10.3390/en14030682,Yes (1),https://www.mdpi.com/1996-1073/14/3/682/htm
A New Perspective for Climate Change Mitigation-Introducing Carbon-Negative Hydrogen Production from Biomass with Carbon Capture and Storage (HyBECCS),2021.0,4824064,http://dx.doi.org/10.3390/su13074026,Yes (1),https://www.mdpi.com/2071-1050/13/7/4026/htm
Sustainable Development Model of Performance of Woodworking Enterprises in the Czech Republic,2021.0,4829012,http://dx.doi.org/10.3390/f12060672,Yes (1),https://www.mdpi.com/1999-4907/12/6/672/htm
Sewage Sludge Treatment by Hydrothermal Carbonization: Feasibility Study for Sustainable Nutrient Recovery and Fuel Production,2021.0,4830516,http://dx.doi.org/10.3390/en14092697,Yes (1),https://www.mdpi.com/1996-1073/14/9/2697/htm
A System Integration Analysis of a Molten Carbonate Electrolysis Cell as an Off-Gas Recovery System in a Steam-Reforming Process of an Oil Refinery,2021.0,4839880,http://dx.doi.org/10.3389/fenrg.2021.655915,Yes (1),https://www.frontiersin.org/articles/10.3389/fenrg.2021.655915/full
Substitution of beef with pea protein reduces the environmental footprint of meat balls whilst supporting health and climate stabilisation goals,2021.0,4857774,http://dx.doi.org/10.1016/j.jclepro.2021.126447,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0959652621006673
"Measuring the level of environmental performance in insular areas, through key performed indicators, in the framework of waste strategy development",2021.0,4857954,http://dx.doi.org/10.1016/j.scitotenv.2020.141974,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0048969720355030
"Biomethanation of agricultural residues: Potential, limitations and possible solutions",2021.0,4878454,http://dx.doi.org/10.1016/j.rser.2020.110217,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S1364032120305062
Biomass Sea-Based Supply Chains and the Secondary Ports in the Era of Decarbonization,2021.0,4878524,http://dx.doi.org/10.3390/en14071796,Yes (1),https://www.mdpi.com/1996-1073/14/7/1796/htm
How to define (net) zero greenhouse gas emissions buildings: The results of an international survey as part of IEA EBC annex 72,2021.0,4907792,http://dx.doi.org/10.1016/j.buildenv.2021.107619,Yes (1),https://linkinghub.elsevier.com/retrieve/pii/S0360132321000329
